what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1314618288414
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314618294562
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314618401138
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1314618403079
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314618409112
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314618428183
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1314618435236
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1314618435248
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1314618439943
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1314618446468
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314618448269
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314618922501
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314618937332
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314618937989
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314618938772
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314618939360
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1314618947098
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1314618947217
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1314618947229
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1314618948148
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1314618948160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314618956339
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314620859446
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314620861443
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314620861979
